sending_facility,sending_facility_oid
PROVIDENCE PORTLAND MED CTR DIABETIC SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV NEURO CENTER FOR CHILDREN WEST PROVIDER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PROVIDER ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EXPRESS CARE KRUSE WAY,1.2.840.114350.1.13.297.2.7.2.696570.40
OMW PROVIDENCE MILWAUKIE HOSPITAL,1.2.840.114350.1.13.297.2.7.2.696570.405121
PROV DYSPLASIA CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Immediate Care Sherwood,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PEDIATRIC ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PROVIDER SURGICAL,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE EXPRESS CARE AT WALGREENS MURRAYHILL,1.2.840.114350.1.13.297.2.7.2.696570.40
OSV Partial Hospitalization,1.2.840.114350.1.13.297.2.7.2.696570.40
James Skavaril MD,1.2.840.114350.1.13.297.2.7.2.696570.729
POH MILL PLAIN OCCUPATIONAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
WOMENS HLTHCR ASSOC-OC,1.2.840.114350.1.13.297.2.7.2.696570.40
WOMENS HLTHCR ASSOC-GTWY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD GENERAL SURGERY,1.2.840.114350.1.13.297.2.7.2.696570.40
Womens Health Assoc North,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence St. Vincent Medical Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR OCCUPATIONAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence ElderPlace in Irvington Village,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG ESTHER SHORT,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG OREGON CITY FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ST VINCENT MED CTR SPEECH THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL PSYCHIATRY OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR MAMMOGRAPHY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PROVIDER NEUROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEWBERG NEUROLOGY AT BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR REGIONAL CORE LAB,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PROVIDER ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SOUTH CALL CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR MAMMOGRAPHY,1.2.840.114350.1.13.297.2.7.2.696570.40
OSV Neuro Navigator Team,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Milwaukie,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WARRENTON WALK-IN CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CAMAS PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
OR Home Health Northern Oregon,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEWBERG ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG BATTLE GROUND PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL AUDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR EMERGENCY CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
The Oregon Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE EXPRESS CARE AT WALGREENS SALMON CREEK,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR OP NUTRITION SERVICE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG St Vincent,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Infectious Disease Consultants,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE EXPRESS CARE AT WALGREENS MILWAUKIE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD VASCULAR AND GENERAL SURGERY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Oncology and Hematology Care - WF,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR DIABETIC CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - WILLAMETTE FALLS,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CENTRALIZED REFILL AUTHORIZATION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HOOD RIVER MEM HOSP ONCOLOGY HEMATOLOGY CARE CLIN,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL EMERGENCY CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Infectious Disease Consultants/ The Traveler's Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG BREAST CARE CLINIC PPMC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Milwaukie Hospital Post Partum Care Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV LUNG CANCER CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG BETHANY INTERNAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PHYSIATRY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR OP NUTRITION SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Pediatric Neurology,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL OP INFUSION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PREADMIT CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR ADOL EATING DISORDER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR RESEARCH,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Medford Medical Clinic Ellendale Xray,1.2.840.114350.1.13.297.2.7.2.696570.40
Womens Hlthcr Assoc Pk S,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NORTHEAST,1.2.840.114350.1.13.297.2.7.2.696570.405616
WOMENS HLTHCR ASSOC-EBANK,1.2.840.114350.1.13.297.2.7.2.696570.40
Womens Hlthcr Assocs Tualatin,1.2.840.114350.1.13.297.2.7.2.696570.40
OPH PROVIDENCE PORTLAND MEDICAL CENTER,1.2.840.114350.1.13.297.2.7.2.696570.405141
PROVIDENCE HOOD RIVER HOSPITAL OASIS PALLIATIVE CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV INTEGRATIVE MEDICINE WEST,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group The Plaza,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Medford OB/GYN Health Center US,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Pediatric Specialties,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL SOCIAL WORK,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS DIABETIC CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR CT,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Bethany,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PSYCH OUTPATIENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE EXPRESS CARE AT WALGREENS HAPPY VALLEY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Milwaukie Hospital OP Nutrition Services,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG ARTHRITIS INFUSION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV ORAL HEAD AND NECK CANCER CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - MILWAUKIE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR HOME HEALTH SRVCS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PROVIDER OBGYN,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL POSTPARTUM,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR EMERGENCY CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
Pacific Medical Group OC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PROVIDER MED SURG,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Glisan,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EXPRESS CARE PEARL,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR CASE MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Pediatric Neurology Salem,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR ELECTRODIAGNOSTICS,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Scholls,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSP ET AND WOUND CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
COLUMBIA GORGE ENT-HOOD RIVER,1.2.840.114350.1.13.297.2.7.2.696570.709
PROVIDENCE MEDFORD MED CTR DIABETIC CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ELECTRODIAGNOSTICS,1.2.840.114350.1.13.297.2.7.2.696570.40
Greenfield Health Broadway,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART CLINIC HEART RHYTHM CONSULTANTS NEWBERG,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV INTEGRATIVE MEDICINE EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
William Spisak MD,1.2.840.114350.1.13.297.2.7.2.696570.729
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL DIABETIC CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Oncology and Hematology Care - Newberg,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL HOSPITALISTS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE EXPRESS CARE AT WALGREENS RALEIGH HILLS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV STV HC HEART CLINIC AT ASTORIA,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ORAL ONCOLOGY AND ORAL MEDICINE EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV SEASIDE ONCOLOGY HEMATOLOGY CARE CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MERCANTILE PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR POST PARTUM SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG ANTICOAGULATION TELEPHONE CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PSYCH PARTIAL HOSPITAL,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR DIABETIC CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE OB/GYN,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR PHARMACY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EXPRESS CARE LOMBARD,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG TANASBOURNE IC,1.2.840.114350.1.13.297.2.7.2.696570.405503
PMG ASHLAND CARDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PSYCH INTENSIVE OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG BRIDGEPORT DERMATOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.405603
PMG Gresham Anticoagulation Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS PROVIDER ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Neurological Specialties PSV MJP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PROVIDER OBGYN,1.2.840.114350.1.13.297.2.7.2.696570.40
Womens Healthcare Associates  Newberg,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PROVIDER CARDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
Gateway Womens Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ST VINCENT MED CTR AQUATICS AT EASTER SEALS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL PROVIDER SURG,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL PROVIDER MED SURG,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR LABOR AND DEL IP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PSYCH OUTPATIENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG GATEWAY IC,1.2.840.114350.1.13.297.2.7.2.696570.405519
PROV STV HC CARDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.405659
PMG NEWBERG ORTHOPEDICS AT SHERWOOD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS MED CTR CARDIAC REHAB,1.2.840.114350.1.13.297.2.7.2.696570.40
OR Default Clinic Conversion Location,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR RADIATION ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Medford Medical Clinic Ellendale Orthopedics,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - MCMINNVILLE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE EXPRESS CARE AT WALGREENS FISHERS LANDING,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Northeast,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR CT,1.2.840.114350.1.13.297.2.7.2.696570.40
Clackamas County Health Dept,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL CT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR SPINE CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Liver Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG PHARMACY MEDICATION ASSISTANCE PROGRAM,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR CARDIAC REHAB,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PREADMIT CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL OUTPATIENT INFUSION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC -  MILL PLAIN,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL OT IP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR NEUROSURGERY 9E,1.2.840.114350.1.13.297.2.7.2.696570.40
POH TANASBOURNE,1.2.840.114350.1.13.297.2.7.2.696570.405687
PMG GATEWAY,1.2.840.114350.1.13.297.2.7.2.696570.405518
PROV EAST ONCOLOGY PALLIATIVE CARE CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV OR REGIONAL HEALTH EDUCATION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PROVIDER SURGICAL,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR EP INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MILL PLAIN PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART CLINIC HEART RHYTHM CONSULT ASTORIA,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Newberg Facility Rounding,1.2.840.114350.1.13.297.2.7.2.696570.40
PSVMC ADOLESCENT EATING DISORDER INTENSIVE OUTPATIENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ONCOLOGY PRESURGICAL CLINIC EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Medford Medical Clinic Ellendale Lab,1.2.840.114350.1.13.297.2.7.2.696570.40
Northwest Perinatal Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV SEASIDE HOSPITAL OCC MED,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEUROLOGICAL SPECIALTIES MILL PLAIN,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MERCANTILE,1.2.840.114350.1.13.297.2.7.2.696570.405504
PMG NEWBERG PSYCHIATRY,1.2.840.114350.1.13.297.2.7.2.696570.40
OHR GORGE COUNSELING,1.2.840.114350.1.13.297.2.7.2.696570.404101013
PROVIDENCE EXPRESS CARE AT WALGREENS POWELL AND 182ND,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV ORAL HEAD AND NECK CLINIC WEST,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV GYNECOLOGY CLINIC WEST,1.2.840.114350.1.13.297.2.7.2.696570.405531
PROVIDENCE WILLAMETTE FALLS MED CTR EMERGENCY CTR,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL THERAPY AUD OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEUROLOGY ASSOCIATES,1.2.840.114350.1.13.297.2.7.2.696570.405622
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL HIM,1.2.840.114350.1.13.297.2.7.2.696570.40
OWF PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,1.2.840.114350.1.13.297.2.7.2.696570.405101
PMG BREAST CARE CLINIC PSV,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL LABOR AND DELIVERY IP,1.2.840.114350.1.13.297.2.7.2.696570.40
Northwest Gynecology Ctr WHA,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR SOCIAL WORK,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SUNNYSIDE,1.2.840.114350.1.13.297.2.7.2.696570.405513
PMG ADMINISTRATIVE SERVICES AND DEPARTMENTS,1.2.840.114350.1.13.297.2.7.2.696570.405528
PROVIDENCE SAINT VINCENT MED CTR NICU,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Pediatric Infectious Disease,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL OT IP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL THERAPY SLP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL ET AND WOUND CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PROVIDER ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Saint Vincent Med Ctr IOP Chemical Dep,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PROVIDER MED SURG,1.2.840.114350.1.13.297.2.7.2.696570.40
CENTER FOR MEDICAL IMAGING - TANASBOURNE,1.2.840.114350.1.13.297.2.7.2.696570.902
PMG Call Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SOUTH ADMINISTRATION,1.2.840.114350.1.13.297.2.7.2.696570.40
OR Hospice Portland Metro,1.2.840.114350.1.13.297.2.7.2.696570.40
SUMMIT FAM MED-PENNINGTON,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SPORTS CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Milwaukie Facility Rounding,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL MED SURG,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV NEURO SPECIALTIES ESTHER SHORT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL PROVIDER MED SU,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS MED CTR BEH HLTH ADOLES,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEWBERG PLASTIC SURGERY AT SHERWOOD,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SOUTH CLINICAL SUPPORT TEAM,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PROVIDER NEUROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS THERAPY OT,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Sunnyside,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR CT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ET,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CANNON BEACH ANTICOAGULATION CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Hood River Family Med,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence St Vincent Department of Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Central Point,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Medford Medical Clinic Ellendale Ultrasound,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL EMERGENCY CTR,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE THE DALLES ENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR NEUROSURGERY SPINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR ET AND WOUND CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PHS EPICCARE LINK OR,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR BREAST CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART CLINIC HEART RHYTHM CONSULTANT SPRINGFIELD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - EAST AT PPMC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Gresham,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR PULMONARY FUNCTION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV NEUROLOGICAL SPECIALTIES EAST REHAB,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CASCADE,1.2.840.114350.1.13.297.2.7.2.696570.405517
PMG SCHOLLS,1.2.840.114350.1.13.297.2.7.2.696570.405509
Providence Portland Med Ctr IOP Chemical Dep,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR OB PROCEDURES,1.2.840.114350.1.13.297.2.7.2.696570.40
Dr. James Biemer,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL ELECTRODIAGNOSTICS,1.2.840.114350.1.13.297.2.7.2.696570.40
APP Orthopedic Surgery,1.2.840.114350.1.13.333.2.7.2.688879.20000
ASANTE PHYSICIAN PARTNERS FAMILY MEDICINE WHITE CITY,1.2.840.114350.1.13.333.2.7.2.688879.20000
APP FAMILY MEDICINE 3,1.2.840.114350.1.13.333.2.7.2.688879.20000
APP FAMILY MEDICINE GP,1.2.840.114350.1.13.333.2.7.2.688879.20000
APP Family Medicine Ashland,1.2.840.114350.1.13.333.2.7.2.688879.20000
SLM LABORATORY,1.2.840.114350.1.13.333.2.7.2.688879.20000
TRMC Rehabilitation Services,1.2.840.114350.1.13.333.2.7.2.688879.20000
Asante Physician Partners Family Medicine,1.2.840.114350.1.13.333.2.7.2.688879.20000
PMG Medford Medical Clinic Urgent Care,1.2.840.114350.1.13.297.2.7.2.696570.40
APP NEUROLOGY GP,1.2.840.114350.1.13.333.2.7.2.688879.20000
APP Internal Medicine Ashland,1.2.840.114350.1.13.333.2.7.2.688879.20000
APP Family Medicine Talent,1.2.840.114350.1.13.333.2.7.2.688879.20000
APP SURGICAL GROUP GP,1.2.840.114350.1.13.333.2.7.2.688879.20000
SLM ANTICOAG CLINIC,1.2.840.114350.1.13.333.2.7.2.688879.20000
RRMC Laboratory,1.2.840.114350.1.13.333.2.7.2.688879.20000
RRMC Rehabilitation Services,1.2.840.114350.1.13.333.2.7.2.688879.20000
Sky Lakes Primary Care Clinic on Almond,1.2.840.114350.1.13.333.2.7.2.688879.20000
APP Family Medicine 1,1.2.840.114350.1.13.333.2.7.2.688879.20000
Sky Lakes Family Medicine Clinic,1.2.840.114350.1.13.333.2.7.2.688879.20000
Sky Lakes Dermatology Clinic,1.2.840.114350.1.13.333.2.7.2.688879.20000
ASANTE DISCHARGE PHONE CALL,1.2.840.114350.1.13.333.2.7.2.688879.20000
Asante Physician Partners Endocrinology Ashland,1.2.840.114350.1.13.333.2.7.2.688879.20000
Southern Oregon Pediatrics,1.2.840.114350.1.13.333.2.7.2.688879.20000
RRMC Diabetes Education,1.2.840.114350.1.13.333.2.7.2.688879.20000
Asante Physician Partners Urgent Care,1.2.840.114350.1.13.333.2.7.2.688879.20000
ASANTE PHYSICIAN PARTNERS FAMILY MEDICINE ASHLAND 2,1.2.840.114350.1.13.333.2.7.2.688879.20000
Sky Lakes Klamath Medical Clinic,1.2.840.114350.1.13.333.2.7.2.688879.20000
Sky Lakes Outpatient Rehab,1.2.840.114350.1.13.333.2.7.2.688879.20000
Asante Physician Partners Endocrinology Medford,1.2.840.114350.1.13.333.2.7.2.688879.20000
Asante Physician Partners - Endocrinology Clinic,1.2.840.114350.1.13.333.2.7.2.688879.20000
Sky Lakes Primary Care Clinic on Clover,1.2.840.114350.1.13.333.2.7.2.688879.20000
"Asante Physician Partners - Ear, Nose and Throat Clinic",1.2.840.114350.1.13.333.2.7.2.688879.20000
Asante Women's Imaging,1.2.840.114350.1.13.333.2.7.2.688879.20000
APP UROLOGY GRANTS PASS,1.2.840.114350.1.13.333.2.7.2.688879.20000
